frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,416,1116,284,863
1,415,1115,286,862
2,414,1114,287,861
3,412,1114,287,861
4,411,1115,287,861
5,409,1115,287,861
6,407,1118,287,861
7,405,1120,287,861
8,403,1121,287,861
9,401,1123,287,862
10,399,1127,287,863
11,399,1129,287,863
12,399,1129,285,869
13,403,1128,282,874
14,405,1128,281,876
15,425,1122,279,878
16,445,1101,277,879
17,448,1097,276,879
18,483,1033,272,882
19,498,988,268,884
20,499,987,266,885
21,509,881,262,885
22,516,859,262,884
23,517,858,263,884
24,528,850,263,884
25,536,849,262,885
26,536,850,261,885
27,550,858,258,885
28,556,869,256,885
29,558,870,254,885
30,574,872,251,884
31,583,901,250,881
32,583,909,248,880
33,583,946,249,873
34,582,967,249,866
35,584,967,250,864
36,568,1004,259,853
37,556,1024,267,846
38,552,1026,270,845
39,523,1061,277,846
40,504,1076,276,849
41,500,1077,275,851
42,476,1093,300,838
43,468,1096,335,808
44,470,1096,328,800
45,461,1105,443,701
46,454,1106,499,725
47,452,1101,506,724
48,463,1095,568,754
49,460,1090,578,767
50,452,1087,586,770
51,412,1001,589,773
52,426,987,590,775
53,412,989,587,775
54,419,995,584,773
55,413,994,580,768
56,411,994,579,767
57,411,994,575,763
58,412,994,572,760
59,412,994,572,759
