frame,x,y
0,1336,564
1,1341,565
2,1343,567
3,1344,568
4,1346,567
5,1347,567
6,1350,570
7,1352,571
8,1353,574
22,1363,571
23,1362,563
24,1354,538
25,1348,512
26,1347,500
29,1338,390
30,1338,342
31,1339,314
32,1339,299
33,1339,265
34,1340,245
35,1341,232
36,1341,211
37,1342,200
38,1343,197
39,1343,188
40,1344,185
41,1344,185
42,1344,191
43,1346,197
44,1345,201
45,1346,220
46,1347,236
47,1346,245
48,1345,276
49,1346,302
50,1347,316
51,1237,294
52,1137,263
53,1093,249
57,667,154
58,574,132
59,536,117
60,409,125
61,341,133
62,368,121
63,448,119
