frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,1371,590,1595,402
1,1371,591,1595,402
2,1371,591,1596,402
3,1373,592,1601,402
4,1376,593,1604,402
5,1378,593,1606,403
6,1382,595,1608,404
7,1385,597,1610,405
8,1386,598,1611,406
9,1388,600,1612,406
10,1392,602,1613,406
11,1393,604,1614,407
12,1395,607,1614,407
13,1400,609,1614,407
14,1403,612,1614,408
15,1406,619,1614,408
16,1408,623,1615,409
17,1409,624,1615,410
18,1410,624,1617,411
19,1410,623,1619,413
20,1408,622,1620,414
21,1406,614,1623,416
22,1397,602,1625,418
23,1391,594,1627,419
24,1382,569,1629,422
25,1369,548,1630,422
26,1364,533,1631,423
27,1350,486,1632,423
28,1348,453,1633,423
29,1346,438,1633,423
30,1350,422,1633,424
31,1345,413,1632,425
32,1339,409,1630,427
33,1332,414,1625,429
34,1323,416,1618,432
35,1321,420,1614,434
36,1306,432,1604,436
37,1293,434,1596,437
38,1286,447,1592,437
39,1272,473,1579,438
40,1261,494,1566,439
41,1259,504,1560,438
42,1255,531,1546,438
43,1254,550,1536,438
44,1255,558,1531,437
45,1258,576,1528,445
46,1263,587,1510,449
47,1265,591,1503,448
48,1270,590,1493,440
49,1279,585,1312,580
50,1283,583,1389,398
51,1286,577,1310,365
52,1293,574,1267,389
53,1296,573,1254,402
54,1302,562,1242,436
55,1309,557,1231,464
56,1312,556,1228,477
57,1315,556,1233,506
58,1314,556,1230,524
59,1315,556,1234,533
60,1312,556,1252,546
61,1311,556,1255,553
62,1310,556,1257,554
63,1310,556,1260,555
