frame,x,y
0,471,384
1,472,384
2,472,384
3,472,384
4,472,384
5,472,384
6,472,384
7,472,384
8,472,384
9,472,384
10,471,384
11,472,384
12,472,384
13,472,384
14,1075,382
15,472,384
16,472,384
17,472,384
18,472,384
19,472,384
20,472,384
21,472,384
22,472,384
23,472,384
24,472,384
25,472,384
26,472,384
27,472,384
28,472,383
29,472,383
30,472,383
31,472,383
32,472,383
33,472,383
34,472,383
35,472,384
36,471,384
37,472,383
38,920,405
39,920,405
40,472,384
41,472,383
42,471,383
43,471,384
44,471,384
45,471,384
46,471,384
47,471,384
48,471,384
49,471,384
50,471,384
51,472,384
52,471,384
53,471,384
54,471,383
55,471,383
56,472,383
57,471,383
