frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,1023,601,751,512
1,1023,602,751,511
2,1024,603,751,511
3,1024,603,752,510
4,1024,604,752,510
5,1025,604,752,509
6,1025,604,753,509
7,1025,604,753,509
8,1030,594,753,510
9,1040,570,753,511
10,1047,541,753,515
11,1052,512,753,524
12,1052,491,754,525
13,1052,481,756,528
14,1051,470,758,533
15,1050,461,761,542
16,1050,459,766,551
17,1053,459,769,555
18,1061,462,772,556
19,1065,470,776,557
20,1068,477,778,557
21,1073,491,782,555
22,1072,506,788,553
23,1071,521,803,547
24,1069,539,818,538
25,1063,553,835,521
26,1051,574,848,499
27,1035,582,865,484
28,1022,593,876,473
29,1018,598,888,464
30,1027,604,914,462
31,1031,604,980,447
32,1031,593,1057,454
33,1036,586,1114,413
34,1041,585,1145,429
35,1040,579,1153,433
36,1040,578,1141,486
37,1037,591,1091,518
38,1019,594,1086,579
39,983,588,1070,621
40,984,589,1044,591
41,984,594,1039,567
42,983,594,1040,572
43,984,591,1041,560
44,989,590,1085,592
45,963,633,1090,601
46,965,630,1103,598
47,969,627,1120,603
48,975,625,1134,595
49,982,623,1150,591
50,1002,619,1164,590
51,1019,617,1176,590
52,1042,610,1185,589
53,1058,607,1195,589
54,1073,605,1210,589
55,1082,606,1218,593
56,1088,612,1233,597
57,1093,627,1254,615
58,1219,525,1229,542
59,1247,510,1222,528
60,1232,510,1220,520
