frame,time,ball_x,ball_y,chest_x,chest_y,rw_x,rw_y,dist_ball_chest,dist_ball_right_wrist,contact,contact_frame,contact_time
0,,251,523,302.89026618003845,937.6139831542969,284.36815381050104,863.455467224121,417.8484830070666,342.0867709390642,0,,
1,,251,523,303.2106184959411,937.7334022521973,286.1012041568756,862.3308563232422,418.0068703112564,341.1415022924175,0,,
2,,251,523,303.4117278456687,937.8225231170654,287.19834566116333,861.7807960510253,418.12045501383534,340.7091839113989,0,,
3,,251,523,303.7136533856392,938.4799289703369,287.51811861991877,861.7877769470214,418.8105784605464,340.7502469496437,0,,
4,,251,523,303.9051952958107,938.9957427978514,287.53366470336914,861.7978477478027,419.3464173153552,340.76192612321216,0,,
5,,251,523,304.0024870634079,939.2692852020264,287.5233328342437,861.8012237548827,419.6300530675951,340.76417514041447,0,,
6,,251,523,304.31708604097366,939.5527267456055,287.5635015964508,861.8070030212402,419.95105169900415,340.77422869875056,0,,
7,,435,1127,304.507533609867,939.8041820526123,287.55445718765253,861.8608474731444,228.1897413153613,303.37923181702297,0,,
8,,435,1127,304.6667602658272,940.0226211547852,287.5452840328216,861.8926620483398,227.9194892487967,303.3558865372106,0,,
9,,429,1133,305.74780046939844,940.3667449951172,287.58554935455317,862.2406196594238,228.68903695391134,305.46470973545587,0,,
10,,431,1134,306.83358013629913,940.6977653503418,287.5774705410003,863.2876396179199,229.74562834213054,306.3579671235185,0,,
11,,431,1134,307.5985810160637,940.8614730834961,287.5832641124725,863.9201545715332,229.1951151022336,305.7964732290046,0,,
12,,251,523,308.05883198976517,940.9137153625488,285.38276910781855,869.662685394287,421.79092426955526,348.3635920361081,0,,
13,,251,523,308.43034476041794,941.0670948028564,282.81248331069946,874.4108390808105,421.9932940891372,352.8478594491865,0,,
14,,251,523,308.67472887039185,941.2097454071045,281.26930117607117,876.0399055480957,422.1679351913743,354.335159846008,0,,
15,,469,1102,308.44688057899475,941.336259841919,279.01453971862793,878.3942413330078,227.13463310864543,293.41780864045376,0,,
16,,483,1075,307.0946046710014,942.3752689361572,277.3040843009949,879.4192886352539,220.29985791100256,283.83555871876297,0,,
17,,483,1075,306.4746040105819,943.0159378051758,276.61213874816895,879.913158416748,220.41099814362278,283.9979313851316,0,,
18,,251,523,305.56605130434036,943.3369445800781,272.33265280723566,882.5082778930664,423.86389435037233,360.1406446784816,0,,
19,,251,523,304.41099017858494,942.5386905670166,268.2766699790954,884.201316833496,422.92487128867674,361.6142621742374,0,,
20,,251,523,303.9429339766502,941.7673587799071,266.6006219387054,885.0631713867188,422.10076408075287,362.39911627856225,0,,
21,,504,826,308.04191797971725,935.2462577819824,262.3835456371307,885.2075386047362,224.35310282774165,248.76503702593706,0,,
22,,503,780,312.31795191764826,930.673599243164,262.9631924629211,884.8261642456055,243.02711159409742,261.9278406031694,0,,
23,,503,780,313.3062064647674,930.060567855835,263.5496145486831,884.4440460205077,241.87167947282109,261.2375276293936,0,,
24,,500,697,317.9035261273384,926.6775798797607,263.51018607616425,884.4629287719727,293.10564050574123,301.7777025452612,0,,
25,,496,662,321.74591928720474,926.5780735015869,262.65231907367695,885.1041984558105,316.80599997928147,322.8414836453066,0,,
26,,496,662,322.97795444726944,926.0222911834717,261.4792495965957,885.7557106018066,315.6650099219441,324.13978527279755,0,,
27,,492,601,330.9788846969604,928.2627868652344,258.3636438846588,885.9868240356445,364.7310395897703,368.51517848357065,0,,
28,,491,576,334.60364878177637,929.816837310791,256.61694645881647,885.8612823486328,386.8412762865213,388.5221101636668,0,,
29,,491,576,336.0484206676483,929.9265003204346,254.08019900321958,885.7624626159667,386.3598834851525,389.9791986122621,0,,
30,,485,536,343.8195151090622,931.6365051269531,251.83660626411432,884.274959564209,420.071629014755,419.1188562184802,0,,
31,,483,521,349.17221188545227,932.2425556182861,250.17058432102198,881.9960403442382,432.470017947015,429.56684922097185,0,,
32,,483,521,350.2711236476898,932.1012210845946,248.2682007551193,880.4359817504882,431.99672289844005,429.29388832555753,0,,
33,,478,500,353.4397727251053,932.0969295501709,249.15321707725525,873.273525238037,449.6921243978582,437.840124586271,0,,
34,,477,496,355.2186405658722,932.1047687530518,249.8903203010559,866.7268753051757,452.78921015719555,434.7611099057691,0,,
35,,477,496,355.5190533399582,932.1237373352051,250.08604645729056,864.96826171875,452.72677706166985,433.1599248177732,0,,
36,,472,496,361.3954567909241,931.34202003479,259.66397881507874,853.2768630981444,449.17261646994893,415.6120099298065,0,,
37,,468,501,366.2455612421035,930.2768039703369,267.8581488132476,846.7338180541991,441.1717808676362,399.48546099050236,0,,
38,,468,501,367.4853855371475,929.7830772399902,270.2604532241821,845.1726150512695,440.4067609017955,396.9328876653272,0,,
