frame,x,y
0,251,523
1,251,523
2,251,523
3,251,523
4,251,523
5,251,523
6,251,523
7,435,1127
8,435,1127
9,429,1133
10,431,1134
11,431,1134
12,251,523
13,251,523
14,251,523
15,469,1102
16,483,1075
17,483,1075
18,251,523
19,251,523
20,251,523
21,504,826
22,503,780
23,503,780
24,500,697
25,496,662
26,496,662
27,492,601
28,491,576
29,491,576
30,485,536
31,483,521
32,483,521
33,478,500
34,477,496
35,477,496
36,472,496
37,468,501
38,468,501
39,463,521
40,462,535
41,462,535
42,457,575
43,454,599
44,454,599
45,250,523
46,250,523
47,250,523
48,250,523
49,250,523
50,250,523
51,250,523
52,250,523
53,250,523
54,250,523
55,250,523
56,250,523
57,250,523
58,250,523
59,250,523
