frame,x,y
15,766,884
16,765,884
18,765,886
39,742,956
41,713,920
44,686,836
45,681,807
46,680,779
47,677,756
48,674,737
49,671,717
50,668,699
51,666,683
52,662,670
53,661,658
54,659,647
55,657,640
56,655,632
57,652,628
58,649,626
59,648,623
60,646,623
61,643,625
62,643,628
63,641,633
64,637,640
65,636,647
66,634,657
67,632,669
68,630,683
69,628,700
70,626,717
71,622,735
72,620,757
73,621,782
74,563,769
75,496,754
76,435,741
77,373,731
78,311,722
79,254,717
80,196,709
81,136,706
135,335,965
136,345,976
