frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,535,1109,373,1093
1,546,1094,374,1093
2,551,1091,374,1093
3,594,1011,377,1092
4,601,957,382,1088
5,602,954,384,1087
6,608,879,391,1079
7,611,858,394,1072
8,610,858,396,1070
9,615,838,394,1058
10,621,842,393,1043
11,620,845,391,1041
12,639,849,368,1016
13,650,857,357,989
14,652,856,356,988
15,669,866,345,951
16,674,890,339,939
17,673,896,337,939
18,673,938,341,894
19,670,963,345,871
20,668,966,347,870
21,641,1016,363,849
22,618,1040,376,838
23,615,1042,378,838
24,579,1069,383,856
25,567,1081,398,843
26,568,1085,399,845
27,531,1056,448,753
28,553,1089,537,720
29,557,1093,546,725
30,555,1103,640,739
31,547,1105,685,761
32,546,1103,688,765
33,540,1113,715,833
34,536,1117,726,867
35,531,1115,729,869
36,512,1113,728,914
37,517,1106,724,938
38,545,993,723,941
39,520,1003,703,993
40,484,1023,694,1024
41,480,1027,688,1026
42,461,1029,636,1082
43,462,1041,606,1111
44,464,1042,602,1115
45,465,1043,517,1145
46,465,1047,476,1164
