frame,x,y
0,1345.0,563.0
1,1348.0,567.0
2,1350.0,571.0
3,1351.0,573.0
4,1354.0,578.0
5,1357.0,580.0
6,1358.0,583.0
7,1361.25,588.75
8,1364.5,594.5
9,1367.75,600.25
10,1371.0,606.0
11,1374.0,611.0
12,1375.0,612.0
13,1374.0,610.0
14,1368.6666666666667,599.6666666666666
15,1363.3333333333333,589.3333333333334
16,1358.0,579.0
17,1354.0,561.0
18,1351.0,552.0
19,1340.0,516.0
20,1334.0,487.0
21,1332.0,472.0
22,1328.0,424.0
23,1324.0,376.0
24,1325.0,361.0
25,1323.0,318.0
26,1323.0,293.0
27,1322.0,281.0
28,1320.0,252.0
29,1319.0,236.0
30,1320.0,230.0
31,1319.0,215.0
32,1319.0,207.0
33,1318.0,204.0
34,1318.0,204.0
35,1318.0,205.0
36,1318.0,208.0
37,1315.0,220.0
38,1315.0,230.0
39,1315.0,240.0
40,1313.0,265.0
41,1312.0,286.0
42,1313.0,297.0
43,1308.0,334.0
44,1203.0,306.0
45,1149.0,295.0
46,1040.8,275.4
47,932.6,255.8
48,824.4,236.2
49,716.2,216.6
50,608.0,197.0
51,566.0,195.0
52,436.0,192.0
53,376.0,204.0
54,403.0,204.0
55,500.0,194.0
56,559.0,200.0
