frame,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
0,2214,838,1328,1531
1,2216,835,1334,1538
2,2217,834,1335,1538
3,2218,834,1348,1538
4,2218,834,1344,1533
5,2218,835,1343,1532
6,2217,836,1343,1524
7,2205,836,1451,1437
8,2198,836,1409,1459
9,1360,1469,2189,857
10,1330,1476,2214,835
11,1326,1437,2285,1164
12,1311,1410,2217,859
13,1329,1371,2228,844
14,1313,1353,2237,838
15,1313,1340,2239,846
16,1310,1313,2240,844
17,1323,1294,2242,840
18,1309,1225,2247,851
19,1320,1180,2251,859
20,1305,1135,2254,863
21,1293,1093,2252,871
22,1273,1009,2258,879
23,1268,958,2257,885
24,1259,892,2257,889
25,1253,849,2254,904
26,1245,799,2252,916
27,1247,788,2249,924
28,1257,769,2245,937
29,1264,764,2243,953
30,1267,761,2242,959
31,1269,756,2236,970
32,1275,772,2226,969
33,1291,785,2213,968
34,1304,797,2191,968
35,1320,820,2176,969
36,1322,910,2161,972
37,1332,956,2113,955
38,1338,1031,2076,952
39,1346,1085,2022,951
40,1342,1157,1994,967
41,1342,1190,1863,1010
42,1356,1237,1811,963
43,1367,1285,1665,1079
44,1377,1370,1755,1062
45,1381,1439,1652,651
46,1385,1556,1519,495
47,1410,1635,1243,485
48,1446,1775,1137,570
49,1492,1861,1125,655
50,1558,1950,1059,680
51,1658,1953,1030,729
52,1734,1935,1032,768
53,1770,1968,1023,786
54,1696,1880,1035,793
55,1815,1947,1016,791
56,1864,1934,1016,789
57,1854,1907,1018,787
58,1865,1880,1016,786
59,1844,1881,1013,781
60,1824,1886,1014,774
61,1806,1879,1016,768
62,1766,1877,1012,761
63,1674,1891,1010,757
64,1617,1907,1008,755
65,1608,1904,1006,754
66,1606,1881,1010,754
67,1599,1870,1013,755
68,1605,1865,1013,755
69,1606,1862,1015,755
70,1573,1876,1015,754
71,1543,1903,1019,754
72,1546,1906,1027,753
73,1546,1904,1030,750
74,1538,1902,1033,748
75,1531,1899,1037,748
76,1523,1883,1039,748
77,1502,1856,1039,746
78,1483,1839,1039,747
79,1479,1826,1037,749
